uei,lat,lon
HJD6G4D6TJY5,37.42411,-122.16608
JWSYC7RUMJD1,40.23384094238281,-111.65853118896484
YKGMTXA2NVL6,41.4995002746582,-81.6954116821289
U5WBFKEBLMX3,42.72840881347656,-73.69178771972656
MNS7B9CVKDN7,33.749000549316406,-84.38797760009766
LMLUKUPJJ9N3,32.73099899291992,-97.11499786376953
KH6NJ6ND8737,37.77493,-122.41942
Q3KCVK5S9CP1,25.774269104003906,-80.19365692138672
DZ4YCZ3QSPR5,39.12711,-84.51439
GM1XX56LEP58,39.95238,-75.16362
MC4RJJM9XLT5,35.28275,-120.65962
Q3LLLDFHPNL3,18.46633,-66.10572
H2BMNX7DSKU8,34.683441162109375,-82.83737182617188
XRJSGX384TD6,46.73127,-117.17962
U2JMKHNS5TG4,34.14778,-118.14452
C13DF16LC3H4,36.07263946533203,-79.79197692871094
H4VNDUN2VWU5,38.89511,-77.03637
F3GJXVP1L166,30.46076011657715,-91.18868255615234
FF1XVJMDYVR1,40.70708465576172,-74.01315307617188
M5QFLTCTSQN6,41.4995,-81.69541
PHZJFZ32NKH4,32.7157096862793,-117.16471862792969
EGLKRQ5JBCZ7,33.57786,-101.85517
JE8AKPCR2KA4,32.72541,-97.32085
SL2PF6R7MRN1,44.66978073120117,-74.98130798339844
XF3XM9642N96,39.95238,-75.16362
KSJKE3KVNBB4,37.02199935913086,-76.33599853515625
