uei,fiscal_year,works_count,cited_by_count
DPMGH9MG1X67,2023,5621.0,99119.0
DPMGH9MG1X67,2024,5458.0,60514.0
DPMGH9MG1X67,2025,5225.0,18843.0
DPMGH9MG1X67,2026,2752.0,901.0
DQDBM7FGJPC5,2016,5677.0,159877.0
DQDBM7FGJPC5,2017,6029.0,155639.0
DQDBM7FGJPC5,2018,5866.0,158810.0
DQDBM7FGJPC5,2019,5431.0,147259.0
DQDBM7FGJPC5,2020,5745.0,129185.0
DQDBM7FGJPC5,2021,6692.0,91910.0
DQDBM7FGJPC5,2022,5469.0,65847.0
DQDBM7FGJPC5,2023,5233.0,44140.0
DQDBM7FGJPC5,2024,4998.0,26376.0
DQDBM7FGJPC5,2025,4950.0,9893.0
DQDBM7FGJPC5,2026,2318.0,370.0
DRRKVZVXSND3,2016,4.0,58.0
DRRKVZVXSND3,2017,5.0,561.0
DRRKVZVXSND3,2018,9.0,497.0
DRRKVZVXSND3,2019,23.0,341.0
DRRKVZVXSND3,2020,15.0,235.0
DRRKVZVXSND3,2021,10.0,155.0
DRRKVZVXSND3,2022,16.0,273.0
DRRKVZVXSND3,2023,12.0,60.0
DRRKVZVXSND3,2024,25.0,117.0
DRRKVZVXSND3,2025,26.0,49.0
DRRKVZVXSND3,2026,8.0,0.0
DRTAEZWWJHM8,2016,91.0,3797.0
DRTAEZWWJHM8,2017,123.0,7743.0
DRTAEZWWJHM8,2018,142.0,6246.0
DRTAEZWWJHM8,2019,124.0,5260.0
DRTAEZWWJHM8,2020,125.0,5261.0
DRTAEZWWJHM8,2021,112.0,1781.0
DRTAEZWWJHM8,2022,124.0,2841.0
DRTAEZWWJHM8,2023,187.0,2023.0
DRTAEZWWJHM8,2024,206.0,688.0
DRTAEZWWJHM8,2025,149.0,335.0
DRTAEZWWJHM8,2026,55.0,13.0
DSLXBD7UWRV6,2016,862.3627969488574,23631.066855889498
DSLXBD7UWRV6,2017,854.6087319795035,23218.439827163165
DSLXBD7UWRV6,2018,852.3932848454024,22155.025202794634
DSLXBD7UWRV6,2019,1723.0640085471389,19976.132946406193
DSLXBD7UWRV6,2020,1297.1442970162004,19611.138031063034
DSLXBD7UWRV6,2021,1114.3699084528587,17290.45715809212
DSLXBD7UWRV6,2022,1084.4613721424937,10853.475509961341
DSLXBD7UWRV6,2023,1381.3312881120426,7708.09444132129
DSLXBD7UWRV6,2024,2133.4755901393696,4682.901379706223
DSLXBD7UWRV6,2025,1735.248967784695,2242.5863614938494
DSLXBD7UWRV6,2026,654.110766343353,58.15548727015416
DVHKP4N619V9,2016,1684.0,72900.0
DVHKP4N619V9,2017,1623.0,90186.0
DVHKP4N619V9,2018,1656.0,89716.0
DVHKP4N619V9,2019,2075.0,80952.0
DVHKP4N619V9,2020,2373.0,82483.0
DVHKP4N619V9,2021,2436.0,84886.0
DVHKP4N619V9,2022,2588.0,53647.0
DVHKP4N619V9,2023,2938.0,37868.0
DVHKP4N619V9,2024,2804.0,22713.0
DVHKP4N619V9,2025,2939.0,6287.0
DVHKP4N619V9,2026,1363.0,239.0
DVL1CMRMWRN9,2016,903.0,37372.0
DVL1CMRMWRN9,2017,926.0,37843.0
DVL1CMRMWRN9,2018,1024.0,52551.0
DVL1CMRMWRN9,2019,1071.0,33964.0
DVL1CMRMWRN9,2020,1388.0,48177.0
DVL1CMRMWRN9,2021,1417.0,25707.0
DVL1CMRMWRN9,2022,1356.0,29864.0
DVL1CMRMWRN9,2023,1423.0,14542.0
DVL1CMRMWRN9,2024,1466.0,8115.0
DVL1CMRMWRN9,2025,1385.0,2703.0
DVL1CMRMWRN9,2026,708.0,113.0
DW1XZMGNFBL4,2016,226.0,25212.0
DW1XZMGNFBL4,2017,229.0,25417.0
DW1XZMGNFBL4,2018,234.0,24498.0
DW1XZMGNFBL4,2019,248.0,12429.0
DW1XZMGNFBL4,2020,268.0,12061.0
DW1XZMGNFBL4,2021,296.0,13325.0
DW1XZMGNFBL4,2022,307.0,6455.0
DW1XZMGNFBL4,2023,300.0,3622.0
DW1XZMGNFBL4,2024,273.0,1689.0
